date,horse_code,horse_id,horse_name,horse_number,incident,position_final,race_number
2024-06-08,J057,HK_2023_J057,FLYING ROMANTIC,9,For some distance after the 900 Metres over-raced when being steadied to allow LO PAN SPIRIT to cross.,5,6
2024-06-08,J227,HK_2023_J227,THE AZURE,6,No report.,6,6
2024-06-08,H326,HK_2022_H326,GANGNAM STAR,12,"Approaching the 900 Metres was crowded by GOLDEN TITLE (Apprentice E C W Wong) which shifted in.  A short distance later, GOLDEN TITLE was then taken out by BOWSER and making the turn after the 900 Metres shifted back in, crowding GANGNAM STAR which also lay out at that point.  As a result, GANGNAM STAR struck the heels of GOLDEN TITLE and blundered.  Apprentice Wong was reprimanded.",7,6
2024-06-08,H460,HK_2022_H460,BOWSER,1,Bumped shortly after the start.  A veterinary inspection immediately following the race which included an endoscopic examination showed a substantial amount of mucus in the horse’s trachea.,8,6
2024-06-08,J226,HK_2023_J226,IVICTORIAM,8,From a wide barrier was shifted across behind runners in the early stages.,9,6
2024-06-08,H318,HK_2022_H318,SEA AIR LEGEND,3,No report.,10,6
2024-06-08,J201,HK_2023_J201,SUPER TAICHI,10,"From a wide barrier was shifted across behind runners in the early stages.  Noted to have bled from both nostrils after the race.  Before being allowed to race again, SUPER TAICHI will be required to perform satisfactorily in a barrier trial and be subjected to an official veterinary examination.",11,6
2024-06-08,H100,HK_2022_H100,GOLDEN TITLE,7,Raced wide and without cover for the majority of the event.  A veterinary inspection immediately following the race did not show any significant findings.,12,6
2024-06-15,H197,HK_2022_H197,TACTICAL COMMAND,3,Sent for sampling post-race.,1,2
2024-06-15,D090,HK_2019_D090,COLONEL,1,Sent for sampling post-race.,2,2
2024-06-15,H291,HK_2022_H291,HO HO STAR,10,Jumped only fairly.  For some distance near the 850 Metres became unbalanced when racing tight to the inside of SONIC BOOM which shifted in when being steadied to avoid COMMANDING MISSILE.,3,2
2024-06-15,H178,HK_2022_H178,CHEER FOR SOUTH,4,When placed under pressure after the 400 Metres lay out and as a consequence shifted out.,4,2
2024-06-15,E482,HK_2020_E482,CIRCUIT SPLENDOR,12,Raced wide and without cover for the majority of the event.,5,2
2024-06-15,G109,HK_2021_G109,TIMESTORM,7,"After the race, H Bowman stated that from the outside barrier he was instructed to ride his mount in a conservative manner in the early stages and settled towards the back of the field.  He said with the pace of the event being run outside of standard throughout the early and middle stages, TIMESTORM found it difficult to make up ground in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.  Noted to have lost its right front plate after the race.",6,2
2024-06-15,H144,HK_2022_H144,SONIC BOOM,6,"Shifted in at the start and was bumped heavily.  For some distance near the 850 Metres raced keenly and was steadied away from COMMANDING MISSILE.  After the race, K Teetan reported that his mount enjoyed a comfortable run during the event but failed to respond in the Home Straight and, in his opinion, may not have appreciated the ""Yielding” track conditions.  A veterinary inspection immediately following the race did not show any significant findings.",7,2
2024-06-15,G025,HK_2021_G025,THE GOOD DEAL,9,From a wide barrier was shifted across behind runners in the early stages.,8,2
2024-06-15,E281,HK_2020_E281,WIND SPEEDER,8,Was left racing wide and without cover from the 850 Metres.,9,2
2024-06-15,G205,HK_2021_G205,SIX BEST FRIENDS,11,"Jumped awkwardly and then was bumped heavily by SONIC BOOM  which shifted in.  After the race, M F Poon reported that his instructions were to hold a forward position but was unable to do so when being bumped heavily on jumping.",10,2
2024-06-15,H443,HK_2022_H443,HAPPY FEELING,2,Jumped only fairly.,11,2
2024-06-15,G210,HK_2021_G210,COMMANDING MISSILE,5,"A veterinary inspection immediately following the race found that horse to have bled from both nostrils.  Before being allowed to race again, COMMANDING MISSILE will be required to perform satisfactorily in a barrier trial and be subjected to an official veterinary examination.  Sent for sampling post-race.",12,2
2024-06-12,H113,HK_2022_H113,OUTGATE,8,Sent for sampling post-race.,1,5
2024-06-12,G326,HK_2021_G326,YELLOWFIN,9,Sent for sampling post-race.,2,5
2024-06-12,H474,HK_2022_H474,MOMENTS IN TIME,3,Raced wide and without cover until after the 1000 Metres when it was allowed to stride forward to take up a position outside the lead.,3,5
2024-06-12,H215,HK_2022_H215,HELENE FEELING,6,Jumped awkwardly.  Due to the pace of the event in the early stages being run outside of standard was allowed to stride forward near the 1000 Metres to lead when racing keenly.,4,5
2024-06-12,H109,HK_2022_H109,CHILL CHIBI,7,"From the outside barrier was shifted across behind runners in the early stages.  At the time of declaration, C L Chau had claimed 1 lb overweight from his riding weight of 119 lbs to ride CHILL CHIBI.   At the time of weighing out, C L Chau requested a further pound overweight which is permitted under the Rules.   C L Chau then weighed in after the race at 122 lbs, 3 lbs over the horse’s allocated weight.   Jockey Chau was fined the sum of $7,500.",5,5
2024-06-12,D482,HK_2019_D482,TELECOM FIGHTERS,2,"Shifted out at the start and was bumped. When questioned regarding his riding, Apprentice E C W Wong stated that his instructions were to lead the event at a comfortable tempo.  He said after obtaining the lead in the early stages, from nearing the 1200 Metres he eased his mount to attempt to comply with his instructions which resulted in the early sectionals of the event being run well outside of standard time.  Apprentice Wong agreed with the Stewards that in retrospect he had made an error of judgement by setting a pace that was too slow throughout the early stages which resulted in HELENE FEELING and MOMENTS IN TIME making a forward move near the 1000 Metres which disadvantaged TELECOM FIGHTERS.  Apprentice Wong was advised that in similar circumstances he would be expected to show better judgement than what he did on this occasion.",6,5
2024-06-12,H257,HK_2022_H257,FLAMING RABBIT,4,A veterinary inspection immediately following the race did not show any significant findings.,7,5
2024-06-12,E192,HK_2020_E192,SPLENDID LIVING,10,"From a wide barrier was shifted across behind runners in the early stages.  Raced keenly in the early stages.  After the race, A Atzeni reported that with the expected fast pace of the event, he was instructed from his wide barrier to ride his mount conservatively in the early stages.",8,5
2024-06-12,G171,HK_2021_G171,MONEY CATCHER,1,Crowded shortly after the start by TELECOM FIGHTERS which shifted out.,9,5
2024-06-12,G227,HK_2021_G227,MR ASCENDENCY,5,Jumped only fairly.,10,5
2024-06-15,G126,HK_2021_G126,CASA LEGEND,9,Stood flat-footed as the start was effected and lost ground.  A warning was placed on the horse’s barrier manners.  Sent for sampling post-race.,1,3
2024-06-15,H034,HK_2022_H034,LEATHER MASTER,8,Bumped at the start.  Sent for sampling post-race.,2,3
2024-06-15,G477,HK_2021_G477,SMART BEAUTY,4,From the outside barrier was shifted across behind runners in the early stages.  Raced keenly in the early stages and near the 1200 Metres shifted out when being steadied away from LADY BILLIE.  Over the concluding stages lay in and away from CASA LEGEND.,3,3
2024-06-15,E296,HK_2020_E296,FOXHUNTER WAY,12,No report.,4,3
2024-06-15,D235,HK_2019_D235,SUPERB DADDY,10,No report.,5,3
2024-06-15,E376,HK_2020_E376,GENERAL WINNER,11,No report.,6,3
2024-06-15,H295,HK_2022_H295,JOYFUL FRIENDSHIP,2,Jumped only fairly.,7,3
2024-06-15,H101,HK_2022_H101,HAPPY HUNK,7,No report.,8,3
2024-06-15,G462,HK_2021_G462,RELIABLE PROFIT,3,"After the race, L Hewitson stated that his mount was able to obtain a position outside the lead, but carrying equal top weight of 135 lbs on the ""”Soft” track, did not finish the race off in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.",9,3
2024-06-15,H285,HK_2022_H285,DIAMOND WINNER,13,Made contact with the left side of its barrier on jumping and became unbalanced.  From a wide barrier was shifted across behind runners in the early stages.,10,3
2024-06-15,E311,HK_2020_E311,HANG'S CHOICE,14,Raced wide and without cover from the 900 Metres.,11,3
2024-06-15,E166,HK_2020_E166,SUNNY BABY,6,Approaching the 300 Metres was eased when crowded between JOYFUL FRIENDSHIP and CASA LEGEND which shifted out to improve.  A veterinary inspection immediately following the race did not show any significant findings.,12,3
2024-06-15,G179,HK_2021_G179,BULB PRINCE,1,A veterinary inspection immediately following the race did not show any significant findings.,13,3
2024-06-15,H365,HK_2022_H365,LADY BILLIE,5,Bumped at the start.,14,3
2024-06-12,J082,HK_2023_J082,YOUTHFUL SPIRITS,9,Approaching the 200 Metres Z Purton dropped his left rein for a number of strides.  Sent for sampling post-race.,1,8
2024-06-12,H208,HK_2022_H208,HAPPY UNITED,8,Sent for sampling post-race.,2,8
2024-06-12,G394,HK_2021_G394,HEROIC MASTER,7,No report.,3,8
2024-06-12,G259,HK_2021_G259,TELECOM SPEED,10,No report.,4,8
2024-06-12,G221,HK_2021_G221,ATOMIC FORCE,3,No report.,5,8
2024-06-12,E418,HK_2020_E418,COLOURFUL PRINCE,11,No report.,6,8
2024-06-12,J333,HK_2023_J333,MAGIC CONTROL,2,"Passing the 900 Metres was steadied when crowded by HARMONY FIRE (Apprentice E C W Wong) which shifted in.  Apprentice Wong was reprimanded and advised he is required to make a greater effort to prevent his mounts from shifting ground in similar circumstances.  After the race, H Bowman stated that his mount hung out making the first turn and once balanced in the Home Straight he was satisfied with the finishing effort of the horse.  A veterinary inspection immediately following the race did not show any significant findings.",7,8
2024-06-12,H125,HK_2022_H125,HUMBLE STAR,1,Jumped only fairly.,8,8
2024-06-12,H240,HK_2022_H240,FAST SERVE,4,"Jumped only fairly.  After the race, L Ferraris stated that despite being ridden along in the early stages, his mount failed to show sufficient pace to hold a more forward position.  He added that in the Home Straight FAST SERVE raced ""flat”.  A veterinary inspection immediately following the race did not show any significant findings.",9,8
2024-06-12,E175,HK_2020_E175,HARMONY FIRE,6,A veterinary inspection immediately following the race did not show any significant findings.,10,8
2024-06-12,J248,HK_2023_J248,MIDORI GLORY,5,"When questioned, M F Poon stated that his instructions were to hold a forward position and after commencing well he was able to obtain a position outside the lead in the early stages.  He said from the 500 Metres MIDORI GLORY came under pressure before weakening in the Home Straight.  He added the only explanation he could offer was that MIDORI GLORY may be better suited on a firmer surface.  Trainer P F Yiu agreed with the explanation offered by Jockey Poon and also indicated that the horse may race better when it is able to obtain cover.   A veterinary inspection immediately following the race did not show any significant findings.  The performance of MIDORI GLORY, a last start winner, was considered to be disappointing.  Before being allowed to race again, MIDORI GLORY will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.",11,8
2024-06-15,H410,HK_2022_H410,CALL ME GLORIOUS,2,Sent for sampling post-race.,1,6
